RecId;Валюта;Дата;Накладная;Внутренняя накладная;Номенклатура;Описание;Количество;Единица измерения;Сумма;Сумма НДС;Поставщик;Наименование поставщика
5637269697;RUB;11.01.2021;20;ВН-030610;101093465;Пена монтажная;12;шт;4120; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269698;RUB;11.01.2021;20;ВН-030610;109094069;Молоток;2;шт;380; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269699;RUB;11.01.2021;20;ВН-030610;105097525;Кран шаровый DN15;1;шт;145; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269700;RUB;11.01.2021;20;ВН-030610;105095681;Вентиль;1;шт;210; 0,00;ПС-0001616;ИП Барыкин Александр Сергеевич
5637269701;RUB;31.12.2020;330;ВН-030611;103195481;Газ пропан сжиженный для погрузчика;645,35;л;16133,75; 0,00;ПС-0034806;"ООО""Навигатор-2000"""
5637269702;RUB;02.12.2020;4906_Н-0031411;ВКН-001677;000003463;Сооружение (Железная дорога);-1;шт;-54888333,33;- 10 977 666,67;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269703;RUB;31.12.2020;731;ВН-030612;000000083;Разработка отчета по оценке воздействия дефеката;0;шт;204000; 0,00;ПС-0101045;"ООО ""Экология и Экспертиза"""
5637269704;RUB;13.01.2021;Н-0031443;ВН-030613;109003000;Очки защитные (дор.);30;шт;10425; 2 085,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269705;RUB;13.01.2021;Н-0031443;ВН-030613;109095198;Очки защитные;70;шт;10325; 2 065,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269706;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;1;пар;2592; 518,40;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269707;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;4;пар;10368; 2 073,60;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269708;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;5;пар;12960; 2 592,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269709;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;3;пар;7776; 1 555,20;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269710;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;1;пар;2592; 518,40;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269711;RUB;13.01.2021;Н-0031443;ВН-030613;109110012;Сапоги сварщика утепленные;1;пар;2592; 518,40;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269712;RUB;13.01.2021;Н-0031444;ВН-030614;109093265;Перчатки с полимерным покрытием;1000;пар;16500; 3 300,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269713;RUB;13.01.2021;Н-0031444;ВН-030614;109099352;Перчатки химкостойкие;600;пар;31200; 6 240,00;ПС-0100068;" ТП АО ""ТД ТРАКТ"""
5637269714;RUB;31.12.2020;330.;ВН-030615;105095681;Вентиль;2;шт;900; 0,00;ПС-0034806;"ООО""Навигатор-2000"""
5637269715;RUB;31.12.2020;607;ВН-030616;000000083;Оборот отходов (Очистка полей фильтрации);0;шт;320000; 0,00;ПС-0101045;"ООО ""Экология и Экспертиза"""
5637269716;RUB;05.12.2020;104;ВН-030617;000000197;Прочие услуги (неучитываемые в целях налогообложения);0;шт;5841,5; 1 168,30;ПС-0101025;"ООО ""СКАТ-ФОРВАРД"""
5637269717;RUB;01.12.2020;5543;ВН-030618;000000174;Ремонт Маниту 1435 г\н9095;0;шт;6150; 1 230,00;ПС-0034220;"ООО ""Техно-Снаб"""
5637269718;RUB;28.12.2020;688/1;ВН-030619;101093062;Натр едкий марка РД (раствор);21,7;т;423150; 84 630,00;ПС-0100641;"ООО ""Химпродвижение"""
5637269719;RUB;28.12.2020;764;ВН-030620;101093062;Натр едкий марка РД (раствор);22,38;т;391650; 78 330,00;ПС-0100641;"ООО ""Химпродвижение"""
5637269720;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269721;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269722;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269723;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269724;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269725;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;500094,61; 100 018,92;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269726;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;11328186,46; 2 265 637,29;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269727;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;170302,82; 34 060,56;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269728;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;7520622,74; 1 504 124,55;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269729;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;1038611,68; 207 722,34;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269730;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;2822007,47; 564 401,49;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269731;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269732;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;540176,59; 108 035,32;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269733;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;4874042,07; 974 808,41;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269734;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;4288676,92; 857 735,39;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269735;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;1344890,42; 268 978,09;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269736;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;500094,61; 100 018,92;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269737;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;500094,61; 100 018,92;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269738;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;500094,61; 100 018,92;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269739;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;500094,61; 100 018,92;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
5637269740;RUB;02.12.2020;Н-0031451;ВН-030621;000003463;Сооружение (Железная дорога);1;шт;13638835,79; 2 727 767,15;ПС-0033471;"ЗАО ""Тбилисский сахарный завод """
